Name,Last,High,Low,Chg.,Change%,Vol.,Time,Ticker
ADP,311.97,312.89,309.76,-1.25,-0.40%,1.3M,16:00:09,ADP
Keurig Dr Pepper,33.14,33.22,32.53,0.36,1.10%,11.56M,16:00:09,KDP
Lowe’s,246.42,246.68,244.11,-0.26,-0.11%,2.03M,16:00:09,LOW
United Airlines Holdings,102.49,106.50,100.02,-4.02,-3.77%,7.01M,16:00:09,UAL
Netflix,"1,024.54","1,045.00","1,015.59",-18.79,-1.80%,3.11M,16:00:09,NFLX
News Corp,32.94,34.91,32.19,-2.02,-5.78%,2.04M,16:00:09,NWSA
Equinix,940.25,940.80,927.03,1.17,0.12%,275.43K,16:00:09,EQIX
Booking,"5,018.23","5,109.99","4,975.81",-92.37,-1.81%,301.62K,16:00:09,BKNG
O’Reilly Automotive,"1,312.44","1,312.85","1,293.08",16.64,1.28%,278.21K,16:00:09,ORLY
BlackRock,989.38,991.32,974.02,3.04,0.31%,769.66K,16:00:09,BLK
CME Group,248.32,249.73,246.69,-2.43,-0.97%,1.25M,16:00:09,CME
JB Hunt,168.54,170.46,166.96,-0.71,-0.42%,705.77K,16:00:09,JBHT
Loews,82.98,83.33,81.95,-0.27,-0.32%,750.95K,16:00:09,L
NextEra Energy,70.14,70.44,68.82,1.08,1.56%,9.34M,16:00:09,NEE
First Solar,164.09,164.55,159.32,1.59,0.98%,2.28M,16:00:09,FSLR
Viatris,11.06,11.10,10.92,0.13,1.19%,7.4M,16:00:09,VTRS
F5 Networks,304.60,308.88,301.34,-5.48,-1.77%,415.9K,16:00:09,FFIV
Edwards Lifesciences,74.71,75.21,74.25,0.04,0.05%,2.52M,16:00:09,EW
News Corp A,28.85,30.43,28.41,-1.64,-5.38%,5.97M,16:00:09,NWS
Amphenol,69.37,69.81,68.15,-0.44,-0.63%,4.69M,16:00:09,APH
Berkshire Hathaway B,481.80,484.20,478.14,-1.97,-0.41%,2.65M,16:00:09,BRK.B
Coterra Energy,28.78,28.78,28.27,0.09,0.31%,3.83M,16:00:09,CTRA
CarMax,85.60,87.70,84.89,-1.84,-2.10%,1.58M,16:00:09,KMX
Chipotle Mexican Grill,53.05,53.82,52.52,-0.75,-1.39%,10.26M,16:00:09,CMG
DaVita,145.92,154.54,144.00,-9.04,-5.83%,2.3M,16:00:09,DVA
EQT,52.56,54.01,51.73,-1.68,-3.10%,11.25M,16:00:09,EQT
FMC,38.19,38.30,37.66,0.54,1.43%,2.42M,16:00:09,FMC
L3Harris Technologies,197.23,197.75,193.09,2.58,1.33%,1.53M,16:00:09,LHX
Healthpeak Properties,19.77,19.88,19.47,0.27,1.38%,4.71M,16:00:09,PEAK
Welltower,150.32,151.07,148.79,0.61,0.41%,3.32M,16:00:09,WELL
Hormel Foods,28.85,28.85,28.42,0.29,1.02%,2.18M,16:00:09,HRL
Invesco,17.86,18.29,17.76,-0.33,-1.81%,4.86M,16:00:09,IVZ
Iron Mountain,93.50,94.39,91.32,0.63,0.68%,4.13M,16:00:09,IRM
Eversource Energy,63.38,63.58,62.00,0.68,1.08%,3.29M,16:00:09,ES
NRG,111.07,111.85,107.36,-1.34,-1.19%,2.02M,16:00:09,NRG
ONEOK,98.63,98.89,96.60,-0.57,-0.57%,2.99M,16:00:09,OKE
Republic Services,230.86,231.35,227.26,1.2,0.52%,1.14M,16:00:09,RSG
Roper Technologies,581.42,581.88,569.01,4.38,0.76%,474.68K,16:00:09,ROP
Ventas,66.85,67.38,66.75,-0.11,-0.16%,2.85M,16:00:09,VTR
WEC Energy,103.53,103.94,102.52,-0.05,-0.05%,1.72M,16:00:09,WEC
Blackstone,163.90,167.61,161.95,-2.95,-1.77%,3.2M,16:00:09,BX
Marathon Petroleum,158.27,159.04,155.00,1.63,1.04%,2.46M,16:00:09,MPC
Broadcom,226.74,228.98,222.75,-1.99,-0.87%,16.1M,16:00:09,AVGO
NXP,245.86,255.45,244.08,0.28,0.11%,4.34M,16:00:09,NXPI
Tesla,354.40,362.30,348.00,-6.16,-1.71%,45.97M,16:00:09,TSLA
Take-Two,215.24,215.33,209.04,0.06,0.03%,1.65M,16:00:09,TTWO
Dollar Tree,76.29,79.80,70.88,0.67,0.89%,9.5M,16:00:09,DLTR
Align,198.06,201.30,197.82,-3.73,-1.85%,793.59K,16:00:09,ALGN
ANSYS,340.46,345.00,337.81,3.72,1.10%,714.76K,16:00:09,ANSS
Builders FirstSource,144.39,149.00,141.43,-0.4,-0.28%,2.76M,16:00:09,BLDR
Charter Communications,363.01,363.94,356.65,1.43,0.40%,692.25K,16:00:09,CHTR
CoStar,78.33,79.45,77.91,-0.88,-1.11%,4.8M,16:00:09,CSGP
DexCom,89.34,89.84,88.36,-0.34,-0.38%,3.34M,16:00:09,DXCM
Erie Indemnity,387.40,389.42,382.90,-1.67,-0.43%,114.5K,16:00:09,ERIE
Fortinet,114.21,114.53,110.83,-0.36,-0.31%,6.9M,16:00:09,FTNT
IDEXX Labs,452.86,457.70,450.39,1.87,0.41%,615.71K,16:00:09,IDXX
Incyte,71.38,71.52,69.89,1.22,1.74%,1.02M,16:00:09,INCY
Jack Henry&Associates,168.70,168.89,166.27,1.34,0.80%,369.95K,16:00:09,JKHY
MarketAxesss,189.81,192.00,188.57,-1.73,-0.90%,507.98K,16:00:09,MKTX
Monolithic,689.81,707.42,682.14,-2.7,-0.39%,679.27K,16:00:09,MPWR
Nordson,218.45,221.59,211.76,0.72,0.33%,454.3K,16:00:09,NDSN
ON Semiconductor,55.74,57.77,55.09,0.22,0.40%,9.39M,16:00:09,ON
PTC,165.76,169.81,164.43,-4.16,-2.45%,1.02M,16:00:09,PTC
Insulet,288.29,288.93,281.61,4.61,1.63%,851.47K,16:00:09,PODD
Pool,344.32,366.00,337.62,3.45,1.01%,995.62K,16:00:09,POOL
Super Micro Computer,59.27,62.47,54.30,-0.98,-1.63%,181.56M,16:00:09,SMCI
Bio-Techne,65.49,67.19,65.39,-0.31,-0.47%,1.73M,16:00:09,TECH
Zebra,320.98,325.12,317.59,-3.77,-1.16%,560.56K,16:00:09,ZBRA
BorgWarner,30.25,30.28,29.39,0.58,1.95%,2.29M,16:00:09,BWA
T-Mobile US,265.40,265.75,262.16,2.05,0.78%,2.8M,16:00:09,TMUS
Quanta Services,281.16,309.41,275.83,-10.91,-3.74%,4M,16:00:09,PWR
Leidos,130.05,131.27,128.13,-1.45,-1.10%,1.95M,16:00:09,LDOS
TE Connectivity,155.78,155.83,153.20,-0.27,-0.17%,1.53M,16:00:09,TEL
Mid-America Apartment,160.08,160.65,156.58,2.62,1.66%,849.64K,16:00:09,MAA
Charles River Laboratories,162.25,168.02,161.47,-2.75,-1.67%,1.8M,16:00:09,CRL
Huntington Ingalls Industries,177.89,179.89,173.78,4.12,2.37%,903.79K,16:00:09,HII
Mettler-Toledo,"1,303.13","1,320.05","1,298.76",0.2,0.02%,141.33K,16:00:09,MTD
Federal Realty,104.53,105.14,103.88,-0.48,-0.46%,536.02K,16:00:09,FRT
Live Nation Entertainment,152.32,154.25,150.27,-1.35,-0.88%,3.06M,16:00:09,LYV
Martin Marietta Materials,506.04,519.88,500.10,-14.91,-2.86%,566.22K,16:00:09,MLM
FactSet Research,466.13,466.77,461.47,-0.05,-0.01%,162.8K,16:00:09,FDS
Raymond James Financial,155.07,158.65,151.75,-4.51,-2.83%,2.09M,16:00:09,RJF
Digital,172.00,172.11,167.77,2.39,1.41%,2.13M,16:00:09,DLR
Essex Property,294.41,295.28,289.92,3.21,1.10%,492.88K,16:00:09,ESS
Fair Isaac,"1,725.54","1,744.52","1,706.97",-29.72,-1.69%,149.39K,16:00:09,FICO
Cooper,88.69,88.91,86.35,2.23,2.58%,1.74M,16:00:09,COO
Molina Healthcare,291.46,300.51,286.44,4.67,1.63%,1.1M,16:00:09,MOH
Everest,338.21,339.16,334.08,1.92,0.57%,414.2K,16:00:09,EG
Regency Centers,73.28,73.53,72.79,-0.16,-0.22%,788.44K,16:00:09,REG
Dollar General,76.13,78.15,74.22,0.5,0.66%,4.49M,16:00:09,DG
Transdigm,"1,312.54","1,350.00","1,306.32",-29.91,-2.23%,150.36K,16:00:09,TDG
Atmos Energy,147.62,148.51,146.25,-0.98,-0.66%,602.33K,16:00:09,ATMOS
Brown&Brown,111.65,112.10,110.47,-0.66,-0.59%,1.48M,16:00:09,BRO
Domino’s Pizza Inc,471.76,476.26,468.00,-3.59,-0.76%,528.6K,16:00:09,DPZ
HCA,321.50,325.33,319.71,0.94,0.29%,1.55M,16:00:09,HCA
Hubbell,389.42,395.47,384.99,-2.96,-0.75%,443.37K,16:00:09,HUBB
Rollins,51.33,51.43,50.39,0.57,1.12%,1.85M,16:00:09,ROL
STERIS,220.79,221.33,219.58,-0.6,-0.27%,249.64K,16:00:09,STE
ResMed,232.79,234.61,231.62,-1.72,-0.73%,662.27K,16:00:09,RMD
MSCI,574.35,575.50,568.02,-0.38,-0.07%,736.99K,16:00:09,MSCI
NVR,"7,258.0","7,263.8","7,115.0",81.1,1.13%,19.9K,16:00:09,NVR
Carnival Corp,24.56,25.68,23.42,-1.53,-5.86%,52.25M,16:00:09,CCL
West Pharmaceutical Services,203.65,208.20,201.25,1.16,0.57%,1.8M,16:00:09,WST
Teledyne Technologies,500.99,501.47,497.16,-1.08,-0.22%,140.76K,16:00:09,TDY
